metric,value
frame_00_Al_encoder.collapse.effective_rank,1.8132859305144875
frame_00_Al_encoder.collapse.variance,3.8370013020130296
frame_00_Al_encoder.collapse.pair_rms,2.7701990188479346
frame_00_Al_encoder.liquid_collapse.effective_rank,1.7246126890939741
frame_00_Al_encoder.liquid_collapse.variance,3.7614396104728716
frame_00_Al_encoder.liquid_collapse.pair_rms,2.7427867618438264
frame_00_Al_encoder.reference_coverage.liquid_fraction,0.9658203125
frame_00_Al_encoder.reference_coverage.cutoff_stable_fraction,0.939453125
frame_00_Al_encoder.context.counts.0.train,583
frame_00_Al_encoder.context.counts.0.test,579
frame_00_Al_encoder.context.counts.1.train,0
frame_00_Al_encoder.context.counts.1.test,0
frame_00_Al_encoder.context.counts.2.train,58
frame_00_Al_encoder.context.counts.2.test,55
frame_00_Al_encoder.context.counts.3.train,0
frame_00_Al_encoder.context.counts.3.test,4
frame_00_Al_encoder.context.counts.4.train,0
frame_00_Al_encoder.context.counts.4.test,0
frame_00_Al_encoder.context.counts.5.train,851
frame_00_Al_encoder.context.counts.5.test,871
frame_00_Al_encoder.context.counts.6.train,379
frame_00_Al_encoder.context.counts.6.test,376
frame_00_Al_encoder.context.test_coverage,0.9978779840848806
frame_00_Al_encoder.context.balanced_accuracy,0.5341364936369086
frame_00_Al_encoder.context.ap.0,0.6392407633047812
frame_00_Al_encoder.context.ap.1,
frame_00_Al_encoder.context.ap.2,0.3736829761317279
frame_00_Al_encoder.context.ap.3,
frame_00_Al_encoder.context.ap.4,
frame_00_Al_encoder.context.ap.5,0.7917596441274888
frame_00_Al_encoder.context.ap.6,0.335907189713143
frame_00_Al_encoder.ptm.counts.0.train,1828
frame_00_Al_encoder.ptm.counts.0.test,1838
frame_00_Al_encoder.ptm.counts.1.train,9
frame_00_Al_encoder.ptm.counts.1.test,7
frame_00_Al_encoder.ptm.counts.2.train,9
frame_00_Al_encoder.ptm.counts.2.test,16
frame_00_Al_encoder.ptm.counts.3.train,0
frame_00_Al_encoder.ptm.counts.3.test,0
frame_00_Al_encoder.ptm.counts.4.train,25
frame_00_Al_encoder.ptm.counts.4.test,24
frame_00_Al_encoder.ptm.test_coverage,0.9877984084880637
frame_00_Al_encoder.ptm.balanced_accuracy,0.9776931447225246
frame_00_Al_encoder.ptm.ap.0,0.9954714563957012
frame_00_Al_encoder.ptm.ap.1,
